A,Y15-64,T,HR,FRF1	34.8 	34.5 bd
A,Y15-64,T,HR,FRF2	36.1 	36.3 bd
A,Y15-64,T,HR,FRF3	35.3 	35.2 bd
A,Y15-64,T,HR,FRG0	36.0 	35.9 bd
A,Y15-64,T,HR,FRH0	36.8 	36.2 bd
A,Y15-64,T,HR,FRI1	35.8 	35.6 bd
A,Y15-64,T,HR,FRI2	36.8 	37.2 bd
A,Y15-64,T,HR,FRI3	35.8 	35.3 bd
A,Y15-64,T,HR,FRJ1	35.0 	35.4 bd
A,Y15-64,T,HR,FRJ2	35.8 	35.7 bd
A,Y15-64,T,HR,FRK1	36.0 	36.0 bd
A,Y15-64,T,HR,FRK2	35.8 	35.8 bd
A,Y15-64,T,HR,FRL0	35.6 	35.2 bd
A,Y15-64,T,HR,FRM0	35.5 u	35.4 bdu
A,Y15-64,T,HR,FRY1	32.3 	33.7 bd
A,Y15-64,T,HR,FRY2	33.1 	33.1 bd
A,Y15-64,T,HR,FRY3	33.7 	33.4 bd
A,Y15-64,T,HR,FRY4	33.3 	33.4 bd
A,Y15-64,T,HR,FRY5	44.6 	: 
A,Y15-64,T,HR,HR02	38.7 	38.1 b
A,Y15-64,T,HR,HR03	39.1 	37.6 b
A,Y15-64,T,HR,HR05	39.5 	38.8 b
A,Y15-64,T,HR,HR06	38.4 	38.3 b
A,Y15-64,T,HR,HU11	38.8 	38.0 b
A,Y15-64,T,HR,HU12	39.6 	38.5 b
A,Y15-64,T,HR,HU21	38.4 	38.2 b
A,Y15-64,T,HR,HU22	38.5 	38.2 b
A,Y15-64,T,HR,HU23	38.0 	38.0 b
A,Y15-64,T,HR,HU31	38.2 	38.1 b
A,Y15-64,T,HR,HU32	38.2 	38.2 b
A,Y15-64,T,HR,HU33	38.3 	38.3 b
A,Y15-64,T,HR,IE04	36.0 b	36.0 b
A,Y15-64,T,HR,IE05	35.8 b	35.6 b
A,Y15-64,T,HR,IE06	35.9 b	35.9 b
A,Y15-64,T,HR,IS00	38.8 	35.9 b
A,Y15-64,T,HR,ITC1	37.2 	36.7 b
A,Y15-64,T,HR,ITC2	37.0 	36.7 b
A,Y15-64,T,HR,ITC3	35.9 	36.1 b
A,Y15-64,T,HR,ITC4	36.9 	36.4 b
A,Y15-64,T,HR,ITF1	37.0 	35.3 b
A,Y15-64,T,HR,ITF2	36.7 	35.9 b
A,Y15-64,T,HR,ITF3	36.6 	35.5 b
A,Y15-64,T,HR,ITF4	36.7 	35.9 b
A,Y15-64,T,HR,ITF5	36.9 	35.3 b
A,Y15-64,T,HR,ITF6	35.9 	34.8 b
A,Y15-64,T,HR,ITG1	35.5 	34.8 b
A,Y15-64,T,HR,ITG2	35.4 	35.0 b
A,Y15-64,T,HR,ITH1	37.1 	37.0 b
A,Y15-64,T,HR,ITH2	35.9 	35.5 b
A,Y15-64,T,HR,ITH3	36.7 	36.5 b
A,Y15-64,T,HR,ITH4	36.6 	36.2 b
A,Y15-64,T,HR,ITH5	37.0 	36.6 b
A,Y15-64,T,HR,ITI1	36.3 	36.0 b
A,Y15-64,T,HR,ITI2	35.9 	36.0 b
A,Y15-64,T,HR,ITI3	36.1 	35.3 b
A,Y15-64,T,HR,ITI4	36.0 	35.5 b
A,Y15-64,T,HR,LT01	38.5 	38.5 b
A,Y15-64,T,HR,LT02	37.7 	38.3 b
A,Y15-64,T,HR,LU00	37.3 	35.8 b
A,Y15-64,T,HR,LV00	38.5 	38.2 b
A,Y15-64,T,HR,ME00	42.6 	: 
A,Y15-64,T,HR,MK00	41.9 	: 
A,Y15-64,T,HR,MT00	37.6 	37.5 b
A,Y15-64,T,HR,NL11	30.2 	29.3 b
A,Y15-64,T,HR,NL12	31.8 	31.0 b
A,Y15-64,T,HR,NL13	31.1 	30.5 b
A,Y15-64,T,HR,NL21	31.4 	29.8 b
A,Y15-64,T,HR,NL22	31.4 	30.7 b
A,Y15-64,T,HR,NL23	32.4 	31.3 b
A,Y15-64,T,HR,NL31	32.3 	30.8 b
A,Y15-64,T,HR,NL32	32.3 	31.3 b
A,Y15-64,T,HR,NL33	32.5 	31.1 b
A,Y15-64,T,HR,NL34	32.9 	30.8 b
A,Y15-64,T,HR,NL41	32.1 	31.2 b
A,Y15-64,T,HR,NL42	31.9 	31.1 b
A,Y15-64,T,HR,NO02	33.5 	33.4 b
A,Y15-64,T,HR,NO06	33.4 	33.2 b
A,Y15-64,T,HR,NO07	34.0 	33.7 b
A,Y15-64,T,HR,NO08	34.0 	33.4 b
A,Y15-64,T,HR,NO09	33.6 	32.6 b
A,Y15-64,T,HR,NO0A	33.9 	33.3 b
A,Y15-64,T,HR,PL21	38.5 	39.6 b
A,Y15-64,T,HR,PL22	39.9 	39.4 b
A,Y15-64,T,HR,PL41	40.0 	40.3 b
A,Y15-64,T,HR,PL42	40.0 	39.6 b
A,Y15-64,T,HR,PL43	39.4 	39.7 b
A,Y15-64,T,HR,PL51	40.0 	39.4 b
A,Y15-64,T,HR,PL52	38.3 	39.0 b
A,Y15-64,T,HR,PL61	39.2 	39.7 b
A,Y15-64,T,HR,PL62	40.5 	40.9 b
A,Y15-64,T,HR,PL63	39.9 	39.9 b
A,Y15-64,T,HR,PL71	38.8 	39.3 b
A,Y15-64,T,HR,PL72	39.2 	40.1 b
A,Y15-64,T,HR,PL81	38.8 	38.5 b
A,Y15-64,T,HR,PL82	37.6 	38.7 b
A,Y15-64,T,HR,PL84	40.5 	40.5 b
A,Y15-64,T,HR,PL91	39.8 	39.7 b
A,Y15-64,T,HR,PL92	40.9 	40.6 b
A,Y15-64,T,HR,PT11	38.6 	38.2 b
A,Y15-64,T,HR,PT15	38.9 	37.9 b
A,Y15-64,T,HR,PT16	38.3 	37.9 b
A,Y15-64,T,HR,PT17	38.7 	37.9 b
A,Y15-64,T,HR,PT18	39.0 	38.4 b
A,Y15-64,T,HR,PT20	37.1 	36.9 b
A,Y15-64,T,HR,PT30	36.0 	36.3 b
A,Y15-64,T,HR,RO11	39.5 	39.9 b
A,Y15-64,T,HR,RO12	39.9 	39.9 b
A,Y15-64,T,HR,RO21	37.7 	39.8 b
A,Y15-64,T,HR,RO22	39.4 	39.6 b
A,Y15-64,T,HR,RO31	38.7 	40.0 b
A,Y15-64,T,HR,RO32	40.2 	39.6 b
A,Y15-64,T,HR,RO41	38.9 	39.5 b
A,Y15-64,T,HR,RO42	39.8 	40.1 b
A,Y15-64,T,HR,RS11	41.4 	41.2 b
A,Y15-64,T,HR,RS12	41.7 	41.9 b
A,Y15-64,T,HR,RS21	42.6 	43.4 b
A,Y15-64,T,HR,RS22	41.6 	42.7 b
A,Y15-64,T,HR,SE11	35.8 	35.5 b
A,Y15-64,T,HR,SE12	35.5 	35.2 b
A,Y15-64,T,HR,SE21	35.5 	35.6 b
A,Y15-64,T,HR,SE22	35.4 	35.2 b
A,Y15-64,T,HR,SE23	35.7 	35.3 b
A,Y15-64,T,HR,SE31	35.7 	35.2 b
A,Y15-64,T,HR,SE32	36.1 	35.0 b
A,Y15-64,T,HR,SE33	35.8 	36.0 b
A,Y15-64,T,HR,SI03	38.1 	38.7 b
A,Y15-64,T,HR,SI04	37.5 	38.4 b
A,Y15-64,T,HR,SK01	40.0 	38.6 b
A,Y15-64,T,HR,SK02	38.8 	37.8 b
A,Y15-64,T,HR,SK03	38.4 	38.2 b
A,Y15-64,T,HR,SK04	37.3 	37.6 b
A,Y15-64,T,HR,TR10	47.1 	45.2 b
A,Y15-64,T,HR,TR21	43.4 	43.2 b
A,Y15-64,T,HR,TR22	45.6 	44.2 b
A,Y15-64,T,HR,TR31	44.4 	43.5 b
A,Y15-64,T,HR,TR32	45.5 	43.3 b
A,Y15-64,T,HR,TR33	46.5 	43.0 b
A,Y15-64,T,HR,TR41	45.9 	43.9 b
A,Y15-64,T,HR,TR42	45.0 	42.6 b
A,Y15-64,T,HR,TR51	44.4 	41.0 b
A,Y15-64,T,HR,TR52	44.4 	43.9 b
A,Y15-64,T,HR,TR61	46.7 	43.3 b
A,Y15-64,T,HR,TR62	45.3 	42.1 b
A,Y15-64,T,HR,TR63	47.0 	44.1 b
A,Y15-64,T,HR,TR71	44.2 	41.7 b
A,Y15-64,T,HR,TR72	44.1 	42.2 b
A,Y15-64,T,HR,TR81	44.8 	41.8 b
A,Y15-64,T,HR,TR82	44.9 	43.2 b
A,Y15-64,T,HR,TR83	44.4 	41.8 b
A,Y15-64,T,HR,TR90	44.0 	42.3 b
A,Y15-64,T,HR,TRA1	46.1 	44.3 b
A,Y15-64,T,HR,TRA2	36.2 	42.4 b
A,Y15-64,T,HR,TRB1	41.2 	38.0 b
A,Y15-64,T,HR,TRB2	45.2 	45.0 b
A,Y15-64,T,HR,TRC1	48.2 	45.4 b
A,Y15-64,T,HR,TRC2	49.9 	51.6 b
A,Y15-64,T,HR,TRC3	52.4 	49.8 b
A,Y15-64,T,HR,UKC1	35.2 	: 
A,Y15-64,T,HR,UKC2	34.8 	: 
A,Y15-64,T,HR,UKD1	35.9 	: 
A,Y15-64,T,HR,UKD3	35.3 	: 
A,Y15-64,T,HR,UKD4	35.5 	: 
A,Y15-64,T,HR,UKD6	36.1 	: 
A,Y15-64,T,HR,UKD7	35.7 	: 
A,Y15-64,T,HR,UKE1	35.4 	: 
A,Y15-64,T,HR,UKE2	35.7 	: 
A,Y15-64,T,HR,UKE3	35.1 	: 
A,Y15-64,T,HR,UKE4	35.4 	: 
A,Y15-64,T,HR,UKF1	35.9 	: 
A,Y15-64,T,HR,UKF2	36.2 	: 
A,Y15-64,T,HR,UKF3	36.6 	: 
A,Y15-64,T,HR,UKG1	35.8 	: 
A,Y15-64,T,HR,UKG2	36.9 	: 
A,Y15-64,T,HR,UKG3	35.7 	: 
A,Y15-64,T,HR,UKH1	36.0 	: 
A,Y15-64,T,HR,UKH2	36.7 	: 
A,Y15-64,T,HR,UKH3	36.3 	: 
A,Y15-64,T,HR,UKI3	40.6 	: 
A,Y15-64,T,HR,UKI4	37.9 	: 
A,Y15-64,T,HR,UKI5	35.9 	: 
A,Y15-64,T,HR,UKI6	36.6 	: 
A,Y15-64,T,HR,UKI7	36.8 	: 
A,Y15-64,T,HR,UKJ1	36.8 	: 
A,Y15-64,T,HR,UKJ2	35.6 	: 
A,Y15-64,T,HR,UKJ3	35.9 	: 
A,Y15-64,T,HR,UKJ4	35.7 	: 
A,Y15-64,T,HR,UKK1	35.8 	: 
A,Y15-64,T,HR,UKK2	35.3 	: 
A,Y15-64,T,HR,UKK3	35.4 	: 
A,Y15-64,T,HR,UKK4	34.6 	: 
A,Y15-64,T,HR,UKL1	35.8 	: 
A,Y15-64,T,HR,UKL2	35.2 	: 
A,Y15-64,T,HR,UKM5	36.5 	: 
A,Y15-64,T,HR,UKM6	36.4 	: 
A,Y15-64,T,HR,UKM7	35.6 	: 
A,Y15-64,T,HR,UKM8	35.3 	: 
A,Y15-64,T,HR,UKM9	36.2 	: 
A,Y15-64,T,HR,UKN0	36.3 	: 
