freq,unit,geo\TIME_PERIOD	2017 	2021 
A,PC_EMP,UKD1	3.3 u	: 
A,PC_EMP,UKD3	3.3 	: 
A,PC_EMP,UKD4	2.3 	: 
A,PC_EMP,UKD6	4.1 	: 
A,PC_EMP,UKD7	3.6 	: 
A,PC_EMP,UKE1	2.8 	: 
A,PC_EMP,UKE2	3.9 	: 
A,PC_EMP,UKE3	3.5 	: 
A,PC_EMP,UKE4	4.4 	: 
A,PC_EMP,UKF1	4.1 	: 
A,PC_EMP,UKF2	4.6 	: 
A,PC_EMP,UKF3	3.7 	: 
A,PC_EMP,UKG1	4.0 	: 
A,PC_EMP,UKG2	3.1 	: 
A,PC_EMP,UKG3	2.8 	: 
A,PC_EMP,UKH1	3.8 	: 
A,PC_EMP,UKH2	4.7 	: 
A,PC_EMP,UKH3	4.4 	: 
A,PC_EMP,UKI3	12.3 	: 
A,PC_EMP,UKI4	11.7 	: 
A,PC_EMP,UKI5	5.9 	: 
A,PC_EMP,UKI6	5.9 	: 
A,PC_EMP,UKI7	7.2 	: 
A,PC_EMP,UKJ1	5.3 	: 
A,PC_EMP,UKJ2	5.9 	: 
A,PC_EMP,UKJ3	4.4 	: 
A,PC_EMP,UKJ4	4.7 	: 
A,PC_EMP,UKK1	5.1 	: 
A,PC_EMP,UKK2	3.7 	: 
A,PC_EMP,UKK3	5.0 	: 
A,PC_EMP,UKK4	3.9 	: 
A,PC_EMP,UKL1	3.0 	: 
A,PC_EMP,UKL2	3.6 	: 
A,PC_EMP,UKM5	: u	: 
A,PC_EMP,UKM6	3.2 u	: 
A,PC_EMP,UKM7	3.8 	: 
A,PC_EMP,UKM8	4.2 	: 
A,PC_EMP,UKM9	2.5 	: 
A,PC_EMP,UKN0	2.9 	: 
