A,TOT_X_TM,NR,DEB	2617976 b	2806753 
A,TOT_X_TM,NR,DEB1	993974 b	1072065 
A,TOT_X_TM,NR,DEB2	342579 b	372950 
A,TOT_X_TM,NR,DEB3	1281423 b	1361738 
A,TOT_X_TM,NR,DEC	662852 b	694783 
A,TOT_X_TM,NR,DEC0	662852 b	694783 
A,TOT_X_TM,NR,DED	2336676 b	2426525 
A,TOT_X_TM,NR,DED2	900253 b	936758 
A,TOT_X_TM,NR,DED4	907167 b	927323 
A,TOT_X_TM,NR,DED5	529256 b	562444 
A,TOT_X_TM,NR,DEE	1322112 b	1361103 
A,TOT_X_TM,NR,DEE0	1322112 b	1361103 
A,TOT_X_TM,NR,DEF	1748730 b	1893848 
A,TOT_X_TM,NR,DEF0	1748730 b	1893848 
A,TOT_X_TM,NR,DEG	1295407 b	1331064 
A,TOT_X_TM,NR,DEG0	1295407 b	1331064 
A,TOT_X_TM,NR,DK	2982964 	3217287 
A,TOT_X_TM,NR,DK0	2982964 	3217287 
A,TOT_X_TM,NR,DK01	867172 	939486 
A,TOT_X_TM,NR,DK02	438837 	469501 
A,TOT_X_TM,NR,DK03	654959 	700090 
A,TOT_X_TM,NR,DK04	701986 	758745 
A,TOT_X_TM,NR,DK05	315928 	346733 
A,TOT_X_TM,NR,EE	845746 	971418 
A,TOT_X_TM,NR,EE0	845746 	971418 
A,TOT_X_TM,NR,EE00	845746 	971418 
A,TOT_X_TM,NR,EL	6599269 	5657830 
A,TOT_X_TM,NR,EL3	3211773 	3127074 
A,TOT_X_TM,NR,EL30	3211773 	3127074 
A,TOT_X_TM,NR,EL4	650150 	473951 
A,TOT_X_TM,NR,EL41	92342 	60763 
A,TOT_X_TM,NR,EL42	157945 	123236 
A,TOT_X_TM,NR,EL43	399863 	289952 
A,TOT_X_TM,NR,EL5	1552202 	1247608 
A,TOT_X_TM,NR,EL51	286603 	222280 
A,TOT_X_TM,NR,EL52	968153 	797543 
A,TOT_X_TM,NR,EL53	137182 	101865 
A,TOT_X_TM,NR,EL54	160264 	125920 
A,TOT_X_TM,NR,EL6	1185144 	782497 
A,TOT_X_TM,NR,EL61	346047 	257976 
A,TOT_X_TM,NR,EL62	115610 	88094 
A,TOT_X_TM,NR,EL63	274202 	193305 
A,TOT_X_TM,NR,EL64	230557 	134167 
A,TOT_X_TM,NR,EL65	218728 	108955 
A,TOT_X_TM,NR,ES	29021226 	30706963 
A,TOT_X_TM,NR,ES1	2777555 	2920485 
A,TOT_X_TM,NR,ES11	1800453 	1901716 
A,TOT_X_TM,NR,ES12	611809 	634142 
A,TOT_X_TM,NR,ES13	365293 	384627 
A,TOT_X_TM,NR,ES2	2560865 	2663639 
A,TOT_X_TM,NR,ES21	1198026 	1233189 
A,TOT_X_TM,NR,ES22	409583 	431152 
A,TOT_X_TM,NR,ES23	186879 	197220 
A,TOT_X_TM,NR,ES24	766377 	802078 
A,TOT_X_TM,NR,ES3	4308757 	4769419 
A,TOT_X_TM,NR,ES30	4308757 	4769419 
A,TOT_X_TM,NR,ES4	3700636 	3920021 
A,TOT_X_TM,NR,ES41	1605612 	1678836 
A,TOT_X_TM,NR,ES42	1364960 	1461835 
A,TOT_X_TM,NR,ES43	730064 	779350 
A,TOT_X_TM,NR,ES5	8212044 	8458340 
A,TOT_X_TM,NR,ES51	4323969 	4372013 
A,TOT_X_TM,NR,ES52	3033526 	3190874 
A,TOT_X_TM,NR,ES53	854549 	895453 
A,TOT_X_TM,NR,ES6	5961821 	6381134 
A,TOT_X_TM,NR,ES61	4940991 	5282617 
A,TOT_X_TM,NR,ES62	913973 	988647 
A,TOT_X_TM,NR,ES63	49652 	49672 
A,TOT_X_TM,NR,ES64	57205 	60198 
A,TOT_X_TM,NR,ES7	1499548 	1593925 
A,TOT_X_TM,NR,ES70	1499548 	1593925 
A,TOT_X_TM,NR,FI	4128428 	4464454 
A,TOT_X_TM,NR,FI1	4098771 	4432311 
A,TOT_X_TM,NR,FI19	1128170 	1222159 
A,TOT_X_TM,NR,FI1B	1019546 	1113471 
A,TOT_X_TM,NR,FI1C	910939 	972504 
A,TOT_X_TM,NR,FI1D	1040116 	1124177 
A,TOT_X_TM,NR,FI2	29657 	32143 
A,TOT_X_TM,NR,FI20	29657 	32143 
A,TOT_X_TM,NR,FR	43750508 	44627663 
A,TOT_X_TM,NR,FR1	5891670 	5965791 
A,TOT_X_TM,NR,FR10	6162136 	5965791 
A,TOT_X_TM,NR,FRB	1864911 	1866988 
A,TOT_X_TM,NR,FRB0	1864911 	1866988 
A,TOT_X_TM,NR,FRC	2031166 	2040938 
A,TOT_X_TM,NR,FRD	2362023 	2381620 
A,TOT_X_TM,NR,FRE	3816004 	3900598 
A,TOT_X_TM,NR,FRF	3765318 	3836094 
A,TOT_X_TM,NR,FRG	2647603 	2728913 
A,TOT_X_TM,NR,FRG0	2647603 	2728913 
A,TOT_X_TM,NR,FRH	2398298 	2475959 
A,TOT_X_TM,NR,FRH0	2398298 	2475959 
A,TOT_X_TM,NR,FRI	4522821 	4621539 
A,TOT_X_TM,NR,FRJ	4227259 	4327580 
A,TOT_X_TM,NR,FRK	5504041 	5658351 
A,TOT_X_TM,NR,FRL	3442606 	3502679 
A,TOT_X_TM,NR,FRL0	3442606 	3502679 
A,TOT_X_TM,NR,FRM	255876 	258160 
A,TOT_X_TM,NR,FRM0	255876 	258160 
A,TOT_X_TM,NR,FRY	1019100 	1059639 
A,TOT_X_TM,NR,FRY1	227789 	236837 
A,TOT_X_TM,NR,FRY2	232408 	225846 
A,TOT_X_TM,NR,FRY3	76719 	78465 
A,TOT_X_TM,NR,FRY4	457976 	490235 
A,TOT_X_TM,NR,FRY5	24208 	28256 
A,TOT_X_TM,NR,HR	1782667 	2030769 
