freq,unit,direct,na_item,geo\TIME_PERIOD	2021 
A,MIO_EUR,PAID,D5,NL42	4137 p
A,MIO_EUR,PAID,D5,PL21	2599.89 
A,MIO_EUR,PAID,D5,PL22	3607.95 
A,MIO_EUR,PAID,D5,PL41	2778.41 
A,MIO_EUR,PAID,D5,PL42	1172.13 
A,MIO_EUR,PAID,D5,PL43	659.77 
A,MIO_EUR,PAID,D5,PL51	2436.04 
A,MIO_EUR,PAID,D5,PL52	616.84 
A,MIO_EUR,PAID,D5,PL61	1321.74 
A,MIO_EUR,PAID,D5,PL62	829.54 
A,MIO_EUR,PAID,D5,PL63	1835.19 
A,MIO_EUR,PAID,D5,PL71	1816.35 
A,MIO_EUR,PAID,D5,PL72	675.55 
A,MIO_EUR,PAID,D5,PL81	1139.93 
A,MIO_EUR,PAID,D5,PL82	1114.08 
A,MIO_EUR,PAID,D5,PL84	716.29 
A,MIO_EUR,PAID,D5,PL91	4839.22 
A,MIO_EUR,PAID,D5,PL92	1406.73 
A,MIO_EUR,PAID,D5,PT11	4450.45 
A,MIO_EUR,PAID,D5,PT15	602.02 
A,MIO_EUR,PAID,D5,PT16	2708.09 
A,MIO_EUR,PAID,D5,PT17	6431.92 
A,MIO_EUR,PAID,D5,PT18	840.32 
A,MIO_EUR,PAID,D5,PT20	202.66 
A,MIO_EUR,PAID,D5,PT30	240.78 
A,MIO_EUR,PAID,D5,RO11	727.91 
A,MIO_EUR,PAID,D5,RO12	688.37 
A,MIO_EUR,PAID,D5,RO21	601.85 
A,MIO_EUR,PAID,D5,RO22	568.34 
A,MIO_EUR,PAID,D5,RO31	642.28 
A,MIO_EUR,PAID,D5,RO32	1858.97 
A,MIO_EUR,PAID,D5,RO41	424 
A,MIO_EUR,PAID,D5,RO42	536.54 
A,MIO_EUR,PAID,D5,SE11	23909.33 
A,MIO_EUR,PAID,D5,SE12	12096.39 
A,MIO_EUR,PAID,D5,SE21	5940.18 
A,MIO_EUR,PAID,D5,SE22	11131.03 
A,MIO_EUR,PAID,D5,SE23	15737.45 
A,MIO_EUR,PAID,D5,SE31	5693.49 
A,MIO_EUR,PAID,D5,SE32	2546.79 
A,MIO_EUR,PAID,D5,SE33	3750.65 
A,MIO_EUR,PAID,D5,SI03	1503.99 
A,MIO_EUR,PAID,D5,SI04	1674.14 
A,MIO_EUR,PAID,D5,SK01	927.47 
A,MIO_EUR,PAID,D5,SK02	1266.18 
A,MIO_EUR,PAID,D5,SK03	968.28 
A,MIO_EUR,PAID,D5,SK04	925.15 
