A,HR,Y15-64,T,HR05	40.5 	40.4 b
A,HR,Y15-64,T,HR06	39.6 	39.6 b
A,HR,Y15-64,T,HU11	40.0 	39.3 b
A,HR,Y15-64,T,HU12	40.8 	39.6 b
A,HR,Y15-64,T,HU21	40.1 	39.9 b
A,HR,Y15-64,T,HU22	39.7 	39.4 b
A,HR,Y15-64,T,HU23	39.2 	39.4 b
A,HR,Y15-64,T,HU31	39.8 	39.7 b
A,HR,Y15-64,T,HU32	39.7 	39.5 b
A,HR,Y15-64,T,HU33	39.6 	39.5 b
A,HR,Y15-64,T,IE04	36.1 b	36.1 b
A,HR,Y15-64,T,IE05	36.1 b	35.9 b
A,HR,Y15-64,T,IE06	36.5 b	36.4 b
A,HR,Y15-64,T,IS00	39.3 	38.3 b
A,HR,Y15-64,T,ITC1	37.7 	37.9 b
A,HR,Y15-64,T,ITC2	37.7 	37.9 b
A,HR,Y15-64,T,ITC3	36.3 	37.3 b
A,HR,Y15-64,T,ITC4	37.6 	37.9 b
A,HR,Y15-64,T,ITF1	37.6 	36.7 b
A,HR,Y15-64,T,ITF2	37.3 	37.2 b
A,HR,Y15-64,T,ITF3	37.1 	36.7 b
A,HR,Y15-64,T,ITF4	37.3 	36.8 b
A,HR,Y15-64,T,ITF5	37.5 	36.9 b
A,HR,Y15-64,T,ITF6	36.6 	36.2 b
A,HR,Y15-64,T,ITG1	36.0 	35.8 b
A,HR,Y15-64,T,ITG2	36.2 	36.1 b
A,HR,Y15-64,T,ITH1	37.7 	37.9 b
A,HR,Y15-64,T,ITH2	36.4 	37.0 b
A,HR,Y15-64,T,ITH3	37.4 	37.9 b
A,HR,Y15-64,T,ITH4	37.2 	37.4 b
A,HR,Y15-64,T,ITH5	37.9 	38.0 b
A,HR,Y15-64,T,ITI1	36.9 	37.0 b
A,HR,Y15-64,T,ITI2	36.5 	37.4 b
A,HR,Y15-64,T,ITI3	37.1 	37.0 b
A,HR,Y15-64,T,ITI4	36.6 	36.6 b
A,HR,Y15-64,T,LT01	39.1 	39.2 b
A,HR,Y15-64,T,LT02	38.5 	39.1 b
A,HR,Y15-64,T,LU00	37.4 	38.1 b
A,HR,Y15-64,T,LV00	39.0 	38.8 b
A,HR,Y15-64,T,ME00	43.3 	: 
A,HR,Y15-64,T,MK00	42.5 	: 
A,HR,Y15-64,T,MT00	39.0 	39.3 b
A,HR,Y15-64,T,NL11	29.0 	30.0 b
A,HR,Y15-64,T,NL12	30.7 	31.3 b
A,HR,Y15-64,T,NL13	30.0 	31.3 b
A,HR,Y15-64,T,NL21	30.0 	30.4 b
A,HR,Y15-64,T,NL22	30.1 	31.1 b
A,HR,Y15-64,T,NL23	31.1 	32.1 b
A,HR,Y15-64,T,NL31	30.7 	31.4 b
A,HR,Y15-64,T,NL32	31.0 	32.2 b
A,HR,Y15-64,T,NL33	31.0 	31.7 b
A,HR,Y15-64,T,NL34	31.2 	31.5 b
A,HR,Y15-64,T,NL41	30.7 	31.8 b
A,HR,Y15-64,T,NL42	30.8 	31.5 b
A,HR,Y15-64,T,NO02	33.8 	34.1 b
A,HR,Y15-64,T,NO06	33.6 	34.3 b
A,HR,Y15-64,T,NO07	34.5 	34.4 b
A,HR,Y15-64,T,NO08	34.5 	34.8 b
A,HR,Y15-64,T,NO09	33.7 	33.6 b
A,HR,Y15-64,T,NO0A	33.8 	34.3 b
A,HR,Y15-64,T,PL21	40.0 	40.2 b
A,HR,Y15-64,T,PL22	40.4 	39.9 b
A,HR,Y15-64,T,PL41	41.1 	40.8 b
A,HR,Y15-64,T,PL42	40.8 	40.3 b
A,HR,Y15-64,T,PL43	40.3 	40.1 b
A,HR,Y15-64,T,PL51	40.5 	39.9 b
A,HR,Y15-64,T,PL52	39.8 	40.0 b
A,HR,Y15-64,T,PL61	40.4 	40.4 b
A,HR,Y15-64,T,PL62	41.0 	41.2 b
A,HR,Y15-64,T,PL63	41.2 	40.5 b
A,HR,Y15-64,T,PL71	40.2 	40.1 b
A,HR,Y15-64,T,PL72	41.1 	41.2 b
A,HR,Y15-64,T,PL81	40.3 	39.6 b
A,HR,Y15-64,T,PL82	39.2 	39.8 b
A,HR,Y15-64,T,PL84	42.0 	41.3 b
A,HR,Y15-64,T,PL91	40.4 	40.3 b
