FRL0;0.0777;0.1362
FRM0;0.5877;0.3599
FRY1;1.0000;1.0000
FRY2;0.5477;0.5473
FRY3;1.0000;1.0000
FRY4;0.7535;0.7633
HR02;0.4616;0.4562
HR03;0.3709;0.3940
HR04;0.3434;:
HR05;:;:
HR06;0.5625;0.5519
ITC1;0.2746;0.2511
ITC2;0.5287;0.5050
ITC3;0.1022;0.1079
ITC4;0.1054;0.0893
ITF1;0.4507;0.2974
ITF2;0.5567;0.4504
ITF3;0.1552;0.1488
ITF4;0.2858;0.0417
ITF5;0.7355;0.4985
ITF6;0.3616;0.3091
ITG1;0.2289;0.1171
ITG2;0.5022;0.3661
ITH1;0.4518;0.4539
ITH2;0.4094;0.3567
ITH3;0.1594;0.1291
ITH4;0.3078;0.2706
ITH5;0.2964;0.1661
ITI1;0.2681;0.1900
ITI2;0.4506;0.3091
ITI3;0.2044;0.1900
ITI4;0.2144;0.0999
CY00;0.2014;0.1969
LV00;0.3237;0.3139
LT01;0.2515;0.2236
LT02;0.4237;0.4579
LT00;:;:
LU00;0.4027;0.3882
HU11;0.0616;:
HU12;0.1481;0.1410
HU10;:;:
HU21;0.3798;0.3842
HU22;0.3826;0.3973
HU23;0.4961;0.4985
HU31;0.4351;0.4557
HU32;0.3302;0.3199
HU33;0.3129;0.3282
MT00;0.0266;0.0273
NL11;0.1787;0.2253
NL12;0.2721;0.5177
NL13;0.3075;0.3110
NL21;0.1188;0.1127
NL22;0.0838;0.0717
NL23;:;:
NL31;0.0137;0.0067
NL32;0.0296;0.0286
NL33;0.0385;0.0334
NL34;0.4778;0.4968
NL41;0.0873;0.0801
NL42;0.1353;0.1487
AT11;0.7698;0.7823
AT12;0.4735;0.4956
AT13;:;:
AT21;0.5352;0.5496
AT22;0.4563;0.4641
AT31;0.4525;0.4448
AT32;0.4017;0.3987
AT33;0.4049;0.4061
AT34;0.1720;0.1743
PL21;0.2942;0.2917
PL22;0.1307;0.1266
PL41;0.4424;0.3574
PL42;0.4603;0.2481
PL43;0.5077;0.2513
PL51;0.3500;0.2757
PL52;0.6201;0.3187
PL61;0.4145;0.3348
PL62;0.5308;0.3823
PL63;0.3268;0.2830
PL71;0.3178;0.3214
PL72;0.5628;0.5144
PL81;0.5054;0.5051
PL82;0.4337;0.4948
PL84;0.4023;0.3849
PL91;0.0648;0.0927
PL92;0.5567;0.4781
PT11;0.1809;0.1768
PT15;0.2970;0.3590
PT16;0.4566;0.4576
PT17;0.0083;0.0129
PT18;0.7296;0.7331
PT20;0.5481;0.5632
PT30;0.1757;0.2385
RO11;0.4334;0.4257
RO12;0.3960;0.3943
RO21;0.4884;0.4769
RO22;0.3856;0.3682
RO31;0.4532;0.4260
RO32;0.0393;0.0411
RO41;0.5274;0.5214
RO42;0.3649;0.3596
SI03;0.6017;0.5930
SI01;:;:
SI04;0.2422;0.2496
SI02;:;:
SK01;0.1336;0.1264
SK02;0.4261;0.4393
SK03;0.4078;0.3843
SK04;0.4255;0.4074
FI19;0.4244;0.3890
FI1B;0.1044;0.1095
FI1C;0.2704;0.2217
FI1D;0.3939;0.3820
FI20;0.5515;0.5278
SE11;0.0765;0.0864
SE12;0.1757;0.1890
SE21;0.3964;0.3988
SE22;0.3779;0.3523
SE23;0.2939;0.2943
SE31;0.4664;0.4229
SE32;0.4213;0.4647
SE33;0.2861;0.3384
NO02;:;0.6019
NO06;:;0.4106
NO07;:;0.4418
NO08;:;0.1231
NO09;:;0.2044
NO0A;:;0.3848
UKC1;0.0729;:
UKC2;0.0959;:
UKD1;0.3285;:
UKD3;:;:
UKD4;0.0712;:
UKD6;:;:
UKD7;:;:
UKE1;0.2425;:
UKE2;0.3530;:
UKE3;:;:
UKE4;:;:
UKF1;0.0701;:
UKF2;0.1639;:
UKF3;0.4295;:
UKG1;0.2329;:
UKG2;0.1754;:
UKG3;:;:
UKH1;0.3442;:
UKH2;0.0370;:
UKH3;0.1085;:
UKI1;:;:
UKI2;:;:
UKI3;:;:
UKI4;:;:
UKI5;:;:
UKI6;:;:
UKI7;:;:
UKJ1;0.1373;:
UKJ2;0.1075;:
UKJ3;0.0879;:
UKJ4;0.1042;:
UKK1;0.1591;:
UKK2;0.2049;:
UKK3;0.3984;:
UKK4;0.3009;:
UKL1;0.2589;:
UKL2;0.1801;:
UKM2;:;:
UKM3;:;:
UKM5;0.2501;:
UKM6;0.6099;:
UKM7;0.1377;:
UKM8;:;:
UKM9;0.3318;:
UKN0;0.4666;:
ME00;:;:
MK00;:;:
RS11;0.1369;0.1210
RS12;0.3141;0.3081
RS21;0.5250;0.5177
RS22;0.4710;0.4590
TR10;:;:
TR21;:;:
TR22;:;:
TR31;:;:
TR32;:;:
TR33;:;:
TR41;:;:
TR42;:;:
TR51;:;:
TR52;:;:
TR61;:;:
TR62;:;:
TR63;:;:
TR71;:;:
TR72;:;:
TR81;:;:
TR82;:;:
TR83;:;:
TR90;:;:
TRA1;:;:
TRA2;:;:
TRB1;:;:
TRB2;:;:
TRC1;:;:
TRC2;:;:
TRC3;:;:
