freq,unit,direct,na_item,geo\TIME_PERIOD	2021 
A,MIO_EUR,BAL,B5N,LU00	27948.8 
A,MIO_EUR,BAL,B5N,LV00	19459.2 
A,MIO_EUR,BAL,B5N,NL11	15456 p
A,MIO_EUR,BAL,B5N,NL12	17197 p
A,MIO_EUR,BAL,B5N,NL13	13501 p
A,MIO_EUR,BAL,B5N,NL21	32768 p
A,MIO_EUR,BAL,B5N,NL22	62028 p
A,MIO_EUR,BAL,B5N,NL23	12734 p
A,MIO_EUR,BAL,B5N,NL31	47110 p
A,MIO_EUR,BAL,B5N,NL32	99710 p
A,MIO_EUR,BAL,B5N,NL33	115786 p
A,MIO_EUR,BAL,B5N,NL34	10822 p
A,MIO_EUR,BAL,B5N,NL41	80232 p
A,MIO_EUR,BAL,B5N,NL42	30409 p
A,MIO_EUR,BAL,B5N,PL21	30101.42 
A,MIO_EUR,BAL,B5N,PL22	41490.19 
A,MIO_EUR,BAL,B5N,PL41	33183.87 
A,MIO_EUR,BAL,B5N,PL42	14421.27 
A,MIO_EUR,BAL,B5N,PL43	7807.54 
A,MIO_EUR,BAL,B5N,PL51	27814.12 
A,MIO_EUR,BAL,B5N,PL52	7580.17 
A,MIO_EUR,BAL,B5N,PL61	16295.01 
A,MIO_EUR,BAL,B5N,PL62	10674.45 
A,MIO_EUR,BAL,B5N,PL63	21100.28 
A,MIO_EUR,BAL,B5N,PL71	22013.93 
A,MIO_EUR,BAL,B5N,PL72	9164.77 
A,MIO_EUR,BAL,B5N,PL81	15524.18 
A,MIO_EUR,BAL,B5N,PL82	14764.52 
A,MIO_EUR,BAL,B5N,PL84	8738.5 
A,MIO_EUR,BAL,B5N,PL91	45441.38 
A,MIO_EUR,BAL,B5N,PL92	20160.34 
A,MIO_EUR,BAL,B5N,PT11	41104.43 
A,MIO_EUR,BAL,B5N,PT15	6300.32 
A,MIO_EUR,BAL,B5N,PT16	26207.22 
A,MIO_EUR,BAL,B5N,PT17	45635.66 
A,MIO_EUR,BAL,B5N,PT18	8842.96 
A,MIO_EUR,BAL,B5N,PT20	3064.11 
A,MIO_EUR,BAL,B5N,PT30	2922.83 
A,MIO_EUR,BAL,B5N,RO11	17765.25 
A,MIO_EUR,BAL,B5N,RO12	15983.64 
A,MIO_EUR,BAL,B5N,RO21	15042.87 
A,MIO_EUR,BAL,B5N,RO22	13526.51 
A,MIO_EUR,BAL,B5N,RO31	15232.53 
A,MIO_EUR,BAL,B5N,RO32	35749.67 
A,MIO_EUR,BAL,B5N,RO41	9694.69 
A,MIO_EUR,BAL,B5N,RO42	13203.35 
A,MIO_EUR,BAL,B5N,SE11	87628.44 
A,MIO_EUR,BAL,B5N,SE12	45584.19 
A,MIO_EUR,BAL,B5N,SE21	22462.62 
A,MIO_EUR,BAL,B5N,SE22	42216.43 
A,MIO_EUR,BAL,B5N,SE23	59505.54 
A,MIO_EUR,BAL,B5N,SE31	20959.74 
A,MIO_EUR,BAL,B5N,SE32	9386.29 
A,MIO_EUR,BAL,B5N,SE33	13848.81 
A,MIO_EUR,BAL,B5N,SI03	16678.99 
A,MIO_EUR,BAL,B5N,SI04	16396.15 
A,MIO_EUR,BAL,B5N,SK01	13602.55 
A,MIO_EUR,BAL,B5N,SK02	18658.6 
A,MIO_EUR,BAL,B5N,SK03	14072.68 
A,MIO_EUR,BAL,B5N,SK04	13794.41 
