A,PC,T,Y15-64,FRF1	71.0 	74.8 bd
A,PC,T,Y15-64,FRF2	68.9 	70.1 bd
A,PC,T,Y15-64,FRF3	70.9 	69.6 bd
A,PC,T,Y15-64,FRG0	73.8 	74.3 bd
A,PC,T,Y15-64,FRH0	71.6 	74.2 bd
A,PC,T,Y15-64,FRI1	72.5 	76.0 bd
A,PC,T,Y15-64,FRI2	74.5 	74.2 bd
A,PC,T,Y15-64,FRI3	71.4 	71.9 bd
A,PC,T,Y15-64,FRJ1	68.3 	69.2 bd
A,PC,T,Y15-64,FRJ2	71.6 	73.6 bd
A,PC,T,Y15-64,FRK1	70.1 	73.1 bd
A,PC,T,Y15-64,FRK2	74.0 	75.2 bd
A,PC,T,Y15-64,FRL0	70.1 	71.6 bd
A,PC,T,Y15-64,FRM0	75.6 u	68.4 bdu
A,PC,T,Y15-64,FRY1	64.5 	62.9 bd
A,PC,T,Y15-64,FRY2	65.5 	64.9 bd
A,PC,T,Y15-64,FRY3	55.5 	48.5 bd
A,PC,T,Y15-64,FRY4	61.8 	59.4 bd
A,PC,T,Y15-64,FRY5	50.6 	: 
A,PC,T,Y15-64,HR02	61.1 	65.1 b
A,PC,T,Y15-64,HR03	66.0 	67.8 b
A,PC,T,Y15-64,HR05	72.8 	76.6 b
A,PC,T,Y15-64,HR06	68.3 	68.7 b
A,PC,T,Y15-64,HU11	76.2 	80.4 b
A,PC,T,Y15-64,HU12	71.0 	78.0 b
A,PC,T,Y15-64,HU21	72.1 	77.3 b
A,PC,T,Y15-64,HU22	72.8 	78.2 b
A,PC,T,Y15-64,HU23	67.3 	71.0 b
A,PC,T,Y15-64,HU31	67.4 	71.8 b
A,PC,T,Y15-64,HU32	69.5 	73.8 b
A,PC,T,Y15-64,HU33	70.3 	76.0 b
A,PC,T,Y15-64,IE04	71.6 b	73.3 b
A,PC,T,Y15-64,IE05	72.4 b	73.0 b
A,PC,T,Y15-64,IE06	73.2 b	76.0 b
A,PC,T,Y15-64,IS00	88.7 	85.1 b
A,PC,T,Y15-64,ITC1	71.9 	70.3 b
A,PC,T,Y15-64,ITC2	72.8 	71.8 b
A,PC,T,Y15-64,ITC3	69.0 	69.4 b
A,PC,T,Y15-64,ITC4	72.0 	70.7 b
A,PC,T,Y15-64,ITF1	64.5 	63.9 b
A,PC,T,Y15-64,ITF2	60.7 	58.9 b
A,PC,T,Y15-64,ITF3	53.4 	51.5 b
A,PC,T,Y15-64,ITF4	55.0 	54.8 b
A,PC,T,Y15-64,ITF5	56.9 	57.4 b
A,PC,T,Y15-64,ITF6	52.3 	51.5 b
A,PC,T,Y15-64,ITG1	52.0 	50.7 b
A,PC,T,Y15-64,ITG2	61.1 	62.1 b
A,PC,T,Y15-64,ITH1	75.3 	73.6 b
A,PC,T,Y15-64,ITH2	71.7 	70.7 b
A,PC,T,Y15-64,ITH3	70.6 	69.4 b
A,PC,T,Y15-64,ITH4	70.5 	71.5 b
A,PC,T,Y15-64,ITH5	73.5 	72.5 b
A,PC,T,Y15-64,ITI1	72.4 	71.1 b
A,PC,T,Y15-64,ITI2	70.5 	69.1 b
A,PC,T,Y15-64,ITI3	69.6 	69.2 b
A,PC,T,Y15-64,ITI4	68.3 	66.6 b
A,PC,T,Y15-64,LT01	80.3 	83.0 b
A,PC,T,Y15-64,LT02	74.2 	76.1 b
A,PC,T,Y15-64,LU00	70.2 	73.2 b
A,PC,T,Y15-64,LV00	77.0 	75.8 b
A,PC,T,Y15-64,ME00	63.5 	: 
A,PC,T,Y15-64,MK00	65.3 	: 
A,PC,T,Y15-64,MT00	72.2 	77.1 b
A,PC,T,Y15-64,NL11	74.8 	81.3 b
A,PC,T,Y15-64,NL12	79.7 	83.8 b
A,PC,T,Y15-64,NL13	79.9 	82.3 b
A,PC,T,Y15-64,NL21	80.2 	83.8 b
A,PC,T,Y15-64,NL22	80.2 	83.8 b
A,PC,T,Y15-64,NL23	79.1 	83.2 b
A,PC,T,Y15-64,NL31	81.5 	85.3 b
A,PC,T,Y15-64,NL32	81.2 	83.8 b
A,PC,T,Y15-64,NL33	78.1 	82.9 b
A,PC,T,Y15-64,NL34	78.9 	85.7 b
A,PC,T,Y15-64,NL41	81.3 	85.5 b
A,PC,T,Y15-64,NL42	77.3 	80.9 b
A,PC,T,Y15-64,NO02	76.5 	78.0 b
A,PC,T,Y15-64,NO06	78.1 	79.9 b
A,PC,T,Y15-64,NO07	76.2 	79.2 b
A,PC,T,Y15-64,NO08	78.0 	80.9 b
A,PC,T,Y15-64,NO09	74.6 	77.4 b
A,PC,T,Y15-64,NO0A	78.2 	80.5 b
A,PC,T,Y15-64,PL21	68.8 	70.6 b
A,PC,T,Y15-64,PL22	66.9 	71.0 b
A,PC,T,Y15-64,PL41	71.5 	75.6 b
A,PC,T,Y15-64,PL42	66.2 	70.9 b
A,PC,T,Y15-64,PL43	67.8 	70.1 b
A,PC,T,Y15-64,PL51	69.5 	74.7 b
A,PC,T,Y15-64,PL52	69.8 	74.8 b
A,PC,T,Y15-64,PL61	67.2 	72.6 b
A,PC,T,Y15-64,PL62	65.6 	69.5 b
A,PC,T,Y15-64,PL63	70.7 	74.0 b
A,PC,T,Y15-64,PL71	72.2 	74.2 b
A,PC,T,Y15-64,PL72	68.4 	71.7 b
A,PC,T,Y15-64,PL81	68.3 	71.4 b
A,PC,T,Y15-64,PL82	68.8 	66.2 b
A,PC,T,Y15-64,PL84	69.3 	72.9 b
A,PC,T,Y15-64,PL91	78.4 	80.7 b
A,PC,T,Y15-64,PL92	68.9 	72.0 b
A,PC,T,Y15-64,PT11	73.5 	74.4 b
