freq,currency,nace_r2,geo\TIME_PERIOD	2021 
A,MIO_EUR,TOTAL,NL22	78952 p
A,MIO_EUR,TOTAL,NL23	14143 p
A,MIO_EUR,TOTAL,NL31	74086 p
A,MIO_EUR,TOTAL,NL32	164761 p
A,MIO_EUR,TOTAL,NL33	161187 p
A,MIO_EUR,TOTAL,NL34	13543 p
A,MIO_EUR,TOTAL,NL41	118189 p
A,MIO_EUR,TOTAL,NL42	44382 p
A,MIO_EUR,TOTAL,NLZZ	2448 p
A,MIO_EUR,TOTAL,NO02	16066.83 
A,MIO_EUR,TOTAL,NO06	23546.58 
A,MIO_EUR,TOTAL,NO07	23515.98 
A,MIO_EUR,TOTAL,NO08	119534.6 
A,MIO_EUR,TOTAL,NO09	32324.64 
A,MIO_EUR,TOTAL,NO0A	74209.46 
A,MIO_EUR,TOTAL,NO0B	172.29 
A,MIO_EUR,TOTAL,NOZZ	93820.12 
A,MIO_EUR,TOTAL,PL21	41142.56 
A,MIO_EUR,TOTAL,PL22	59946.55 
A,MIO_EUR,TOTAL,PL41	49550.51 
A,MIO_EUR,TOTAL,PL42	18399.85 
A,MIO_EUR,TOTAL,PL43	10693.51 
A,MIO_EUR,TOTAL,PL51	42443.05 
A,MIO_EUR,TOTAL,PL52	10291.77 
A,MIO_EUR,TOTAL,PL61	21902.87 
A,MIO_EUR,TOTAL,PL62	12914.66 
A,MIO_EUR,TOTAL,PL63	30075.35 
A,MIO_EUR,TOTAL,PL71	30433.5 
A,MIO_EUR,TOTAL,PL72	11509.24 
A,MIO_EUR,TOTAL,PL81	18588.67 
A,MIO_EUR,TOTAL,PL82	19346.36 
A,MIO_EUR,TOTAL,PL84	11125.69 
A,MIO_EUR,TOTAL,PL91	86797.73 
A,MIO_EUR,TOTAL,PL92	26388.77 
A,MIO_EUR,TOTAL,PT11	56360.93 
A,MIO_EUR,TOTAL,PT15	8296.29 
A,MIO_EUR,TOTAL,PT16	35739.61 
A,MIO_EUR,TOTAL,PT17	66309.89 
A,MIO_EUR,TOTAL,PT18	11886.85 
A,MIO_EUR,TOTAL,PT20	3947.76 
A,MIO_EUR,TOTAL,PT30	4397.78 
A,MIO_EUR,TOTAL,PTZZ	130.98 
A,MIO_EUR,TOTAL,RO11	26829.32 
A,MIO_EUR,TOTAL,RO12	24591.83 
A,MIO_EUR,TOTAL,RO21	23001.16 
A,MIO_EUR,TOTAL,RO22	21797.58 
A,MIO_EUR,TOTAL,RO31	24761.01 
A,MIO_EUR,TOTAL,RO32	61120.13 
A,MIO_EUR,TOTAL,RO41	16343.21 
A,MIO_EUR,TOTAL,RO42	19806.38 
A,MIO_EUR,TOTAL,ROZZ	127.56 
A,MIO_EUR,TOTAL,RS11	17718.07 
A,MIO_EUR,TOTAL,RS12	11367.54 
A,MIO_EUR,TOTAL,RS21	8248.32 
A,MIO_EUR,TOTAL,RS22	6755.08 
A,MIO_EUR,TOTAL,RSZZ	19.38 
A,MIO_EUR,TOTAL,SE11	152112.55 
A,MIO_EUR,TOTAL,SE12	68500.47 
A,MIO_EUR,TOTAL,SE21	34974.42 
A,MIO_EUR,TOTAL,SE22	61452.82 
A,MIO_EUR,TOTAL,SE23	90818.61 
A,MIO_EUR,TOTAL,SE31	31773.12 
A,MIO_EUR,TOTAL,SE32	14972.55 
A,MIO_EUR,TOTAL,SE33	25563.3 
A,MIO_EUR,TOTAL,SEZZ	85.84 
A,MIO_EUR,TOTAL,SI03	19706.33 
A,MIO_EUR,TOTAL,SI04	26191.18 
A,MIO_EUR,TOTAL,SK01	25079.36 
A,MIO_EUR,TOTAL,SK02	27396.41 
A,MIO_EUR,TOTAL,SK03	17938.76 
A,MIO_EUR,TOTAL,SK04	19050.9 
A,MIO_EUR,TOTAL,TR10	187543.19 
A,MIO_EUR,TOTAL,TR21	17925.55 
A,MIO_EUR,TOTAL,TR22	11828.99 
A,MIO_EUR,TOTAL,TR31	39241.39 
A,MIO_EUR,TOTAL,TR32	19759.9 
A,MIO_EUR,TOTAL,TR33	19486.35 
A,MIO_EUR,TOTAL,TR41	34654.75 
