freq,unit,sex,age,geo\TIME_PERIOD	2017 	2021 
A,PC,T,Y25-64,ES6	9.1 	12.8 b
A,PC,T,Y25-64,ES61	8.6 	12.7 b
A,PC,T,Y25-64,ES62	11.5 	13.7 b
A,PC,T,Y25-64,ES63	9.7 u	13.6 b
A,PC,T,Y25-64,ES64	12.2 	13.5 b
A,PC,T,Y25-64,ES7	9.2 	13.4 b
A,PC,T,Y25-64,ES70	9.2 	13.4 b
A,PC,T,Y25-64,EU27_2020	10.4 	10.8 b
A,PC,T,Y25-64,FI	27.4 	30.5 b
A,PC,T,Y25-64,FI1	27.4 	30.6 b
A,PC,T,Y25-64,FI19	26.4 	28.8 b
A,PC,T,Y25-64,FI1B	30.4 	35.1 b
A,PC,T,Y25-64,FI1C	26.1 	27.6 b
A,PC,T,Y25-64,FI1D	25.4 	28.5 b
A,PC,T,Y25-64,FI2	24.5 u	24.5 bu
A,PC,T,Y25-64,FI20	24.5 u	24.5 bu
A,PC,T,Y25-64,FR	18.7 	11.0 b
A,PC,T,Y25-64,FR1	18.0 	12.7 b
A,PC,T,Y25-64,FR10	18.0 	12.7 b
A,PC,T,Y25-64,FRB	18.4 	9.7 b
A,PC,T,Y25-64,FRB0	18.4 	9.7 b
A,PC,T,Y25-64,FRC	17.5 	10.2 b
A,PC,T,Y25-64,FRC1	17.3 	10.3 b
A,PC,T,Y25-64,FRC2	17.8 	10.1 b
A,PC,T,Y25-64,FRD	16.5 	10.2 b
A,PC,T,Y25-64,FRD1	15.9 	10.4 b
A,PC,T,Y25-64,FRD2	17.0 	10.1 b
A,PC,T,Y25-64,FRE	16.0 	9.4 b
A,PC,T,Y25-64,FRE1	17.7 	9.6 b
A,PC,T,Y25-64,FRE2	12.6 	9.0 b
A,PC,T,Y25-64,FRF	17.0 	10.6 b
A,PC,T,Y25-64,FRF1	17.8 	11.6 b
A,PC,T,Y25-64,FRF2	15.9 	9.3 b
A,PC,T,Y25-64,FRF3	16.9 	10.5 b
A,PC,T,Y25-64,FRG	21.6 	10.8 b
A,PC,T,Y25-64,FRG0	21.6 	10.8 b
A,PC,T,Y25-64,FRH	20.5 	11.1 b
A,PC,T,Y25-64,FRH0	20.5 	11.1 b
A,PC,T,Y25-64,FRI	19.7 	12.0 b
A,PC,T,Y25-64,FRI1	20.2 	13.5 b
A,PC,T,Y25-64,FRI2	20.3 	12.0 b
A,PC,T,Y25-64,FRI3	18.3 	8.9 b
A,PC,T,Y25-64,FRJ	21.6 	10.7 b
A,PC,T,Y25-64,FRJ1	19.2 	9.6 b
A,PC,T,Y25-64,FRJ2	23.8 	11.7 b
A,PC,T,Y25-64,FRK	23.6 	12.0 b
A,PC,T,Y25-64,FRK1	18.8 	10.4 b
A,PC,T,Y25-64,FRK2	24.6 	12.3 b
A,PC,T,Y25-64,FRL	16.2 	10.5 b
A,PC,T,Y25-64,FRL0	16.2 	10.5 b
A,PC,T,Y25-64,FRM	8.0 u	4.2 bu
A,PC,T,Y25-64,FRM0	8.0 u	4.2 bu
A,PC,T,Y25-64,FRY	9.7 	7.0 b
A,PC,T,Y25-64,FRY1	7.5 	5.2 b
A,PC,T,Y25-64,FRY2	9.5 	7.8 b
A,PC,T,Y25-64,FRY3	7.9 	5.9 b
A,PC,T,Y25-64,FRY4	11.2 	7.6 b
A,PC,T,Y25-64,HR	2.3 	5.3 b
A,PC,T,Y25-64,HR0	2.3 	5.3 b
A,PC,T,Y25-64,HR02	1.5 u	3.8 b
A,PC,T,Y25-64,HR03	1.9 	4.2 b
A,PC,T,Y25-64,HR05	4.0 	11.4 b
A,PC,T,Y25-64,HR06	2.5 	2.9 b
A,PC,T,Y25-64,HU	6.2 	5.9 b
A,PC,T,Y25-64,HU1	7.8 	5.9 b
A,PC,T,Y25-64,HU11	9.1 	7.2 b
A,PC,T,Y25-64,HU12	6.1 	4.2 b
A,PC,T,Y25-64,HU2	4.9 	5.2 b
A,PC,T,Y25-64,HU21	5.0 	6.9 b
A,PC,T,Y25-64,HU22	4.7 	3.6 b
A,PC,T,Y25-64,HU23	4.8 	4.9 b
A,PC,T,Y25-64,HU3	5.8 	6.5 b
A,PC,T,Y25-64,HU31	4.2 	6.2 b
A,PC,T,Y25-64,HU32	6.8 	6.7 b
A,PC,T,Y25-64,HU33	6.2 	6.4 b
A,PC,T,Y25-64,IE	9.0 b	13.6 b
A,PC,T,Y25-64,IE0	9.0 b	13.6 b
A,PC,T,Y25-64,IE04	7.5 b	12.2 b
A,PC,T,Y25-64,IE05	8.5 b	12.0 b
A,PC,T,Y25-64,IE06	9.8 b	15.1 b
A,PC,T,Y25-64,IS	23.6 	23.9 b
A,PC,T,Y25-64,IS0	23.6 	23.9 b
A,PC,T,Y25-64,IS00	23.6 	23.9 b
A,PC,T,Y25-64,IT	7.9 	9.9 b
A,PC,T,Y25-64,ITC	8.5 	10.5 b
A,PC,T,Y25-64,ITC1	7.9 	10.4 b
A,PC,T,Y25-64,ITC2	8.2 	10.6 b
A,PC,T,Y25-64,ITC3	9.3 	11.8 b
A,PC,T,Y25-64,ITC4	8.7 	10.4 b
A,PC,T,Y25-64,ITF	6.0 	7.7 b
A,PC,T,Y25-64,ITF1	6.1 	9.3 b
A,PC,T,Y25-64,ITF2	7.1 	9.9 b
A,PC,T,Y25-64,ITF3	6.3 	7.2 b
A,PC,T,Y25-64,ITF4	5.3 	7.4 b
A,PC,T,Y25-64,ITF5	7.2 	9.5 b
A,PC,T,Y25-64,ITF6	6.0 	7.8 b
A,PC,T,Y25-64,ITG	6.0 	8.1 b
A,PC,T,Y25-64,ITG1	5.1 	7.1 b
A,PC,T,Y25-64,ITG2	8.5 	11.1 b
A,PC,T,Y25-64,ITH	9.7 	11.5 b
A,PC,T,Y25-64,ITH1	10.1 	8.1 b
A,PC,T,Y25-64,ITH2	11.4 	14.8 b
A,PC,T,Y25-64,ITH3	9.1 	10.6 b
A,PC,T,Y25-64,ITH4	10.5 	12.3 b
A,PC,T,Y25-64,ITH5	10.0 	12.3 b
A,PC,T,Y25-64,ITI	8.8 	11.1 b
A,PC,T,Y25-64,ITI1	9.0 	11.0 b
A,PC,T,Y25-64,ITI2	9.0 	11.6 b
A,PC,T,Y25-64,ITI3	7.4 	10.1 b
A,PC,T,Y25-64,ITI4	9.0 	11.3 b
A,PC,T,Y25-64,LT	5.9 	8.5 b
A,PC,T,Y25-64,LT0	5.9 	8.5 b
A,PC,T,Y25-64,LT01	5.8 	11.3 b
A,PC,T,Y25-64,LT02	5.9 	7.2 b
A,PC,T,Y25-64,LU	17.2 	17.9 b
A,PC,T,Y25-64,LU0	17.2 	17.9 b
A,PC,T,Y25-64,LU00	17.2 	17.9 b
A,PC,T,Y25-64,LV	7.5 	8.6 b
A,PC,T,Y25-64,LV0	7.5 	8.6 b
A,PC,T,Y25-64,LV00	7.5 	8.6 b
A,PC,T,Y25-64,ME	2.8 	: 
A,PC,T,Y25-64,ME0	2.8 	: 
A,PC,T,Y25-64,ME00	2.8 	: 
A,PC,T,Y25-64,MK	2.3 	: 
A,PC,T,Y25-64,MK0	2.3 	: 
A,PC,T,Y25-64,MK00	2.3 	: 
A,PC,T,Y25-64,MT	10.6 b	13.8 b
A,PC,T,Y25-64,MT0	10.6 b	13.8 b
A,PC,T,Y25-64,MT00	10.6 b	13.8 b
A,PC,T,Y25-64,NL	19.1 	26.6 b
A,PC,T,Y25-64,NL1	18.0 	25.5 b
A,PC,T,Y25-64,NL11	21.5 	28.9 b
A,PC,T,Y25-64,NL12	16.4 	23.2 b
A,PC,T,Y25-64,NL13	16.2 	24.6 b
A,PC,T,Y25-64,NL2	18.8 	26.4 b
A,PC,T,Y25-64,NL21	18.0 	26.7 b
A,PC,T,Y25-64,NL22	19.2 	26.2 b
A,PC,T,Y25-64,NL23	19.1 	26.3 b
A,PC,T,Y25-64,NL3	20.1 	28.0 b
A,PC,T,Y25-64,NL31	21.8 	29.5 b
A,PC,T,Y25-64,NL32	20.4 	28.3 b
A,PC,T,Y25-64,NL33	19.8 	27.4 b
A,PC,T,Y25-64,NL34	15.2 	25.1 b
A,PC,T,Y25-64,NL4	17.6 	24.3 b
A,PC,T,Y25-64,NL41	17.9 	24.9 b
A,PC,T,Y25-64,NL42	17.0 	22.6 b
A,PC,T,Y25-64,NO	19.9 	19.5 b
A,PC,T,Y25-64,NO0	19.9 	19.5 b
A,PC,T,Y25-64,NO02	18.6 	18.2 b
A,PC,T,Y25-64,NO06	20.7 	20.9 b
A,PC,T,Y25-64,NO07	20.0 	19.7 b
A,PC,T,Y25-64,NO08	21.2 	20.0 b
A,PC,T,Y25-64,NO09	18.6 	19.3 b
A,PC,T,Y25-64,NO0A	18.9 	18.8 b
A,PC,T,Y25-64,PL	4.0 	5.6 b
A,PC,T,Y25-64,PL2	5.0 	5.9 b
A,PC,T,Y25-64,PL21	5.8 	8.0 b
A,PC,T,Y25-64,PL22	4.5 	4.3 b
A,PC,T,Y25-64,PL4	2.7 	3.8 b
A,PC,T,Y25-64,PL41	2.8 	4.0 b
A,PC,T,Y25-64,PL42	2.8 	4.0 b
A,PC,T,Y25-64,PL43	2.1 u	2.9 bu
A,PC,T,Y25-64,PL5	3.3 	7.5 b
A,PC,T,Y25-64,PL51	3.3 	8.6 b
A,PC,T,Y25-64,PL52	3.3 	4.0 bu
A,PC,T,Y25-64,PL6	4.0 	6.2 b
A,PC,T,Y25-64,PL61	3.8 	7.5 b
A,PC,T,Y25-64,PL62	2.4 	3.3 b
A,PC,T,Y25-64,PL63	5.3 	6.8 b
A,PC,T,Y25-64,PL7	2.8 	3.1 b
A,PC,T,Y25-64,PL71	2.8 	3.1 b
A,PC,T,Y25-64,PL72	2.9 	3.1 bu
A,PC,T,Y25-64,PL8	3.3 	4.7 b
A,PC,T,Y25-64,PL81	4.3 	6.2 b
A,PC,T,Y25-64,PL82	2.1 	3.8 b
A,PC,T,Y25-64,PL84	3.4 	3.7 b
A,PC,T,Y25-64,PL9	5.7 	7.4 b
A,PC,T,Y25-64,PL91	9.2 	10.6 b
A,PC,T,Y25-64,PL92	1.9 	2.5 b
A,PC,T,Y25-64,PT	9.8 	12.5 b
A,PC,T,Y25-64,PT1	10.0 	12.7 b
A,PC,T,Y25-64,PT11	8.5 	10.8 b
A,PC,T,Y25-64,PT15	8.6 	12.7 b
