freq,unit,sex,age,geo\TIME_PERIOD	2017 	2021 
A,PC,T,Y18-24,IS	17.8 	14.4 b
A,PC,T,Y18-24,IS0	17.8 	14.4 b
A,PC,T,Y18-24,IS00	17.8 	14.4 b
A,PC,T,Y18-24,IT	14.0 	12.7 b
A,PC,T,Y18-24,ITC	11.9 	11.5 b
A,PC,T,Y18-24,ITC1	11.3 	11.4 b
A,PC,T,Y18-24,ITC2	: u	: bu
A,PC,T,Y18-24,ITC3	13.1 	12.9 b
A,PC,T,Y18-24,ITC4	12.0 	11.3 b
A,PC,T,Y18-24,ITF	17.3 	15.3 b
A,PC,T,Y18-24,ITF1	7.4 	8.0 b
A,PC,T,Y18-24,ITF2	12.0 	7.6 bu
A,PC,T,Y18-24,ITF3	19.1 	16.4 b
A,PC,T,Y18-24,ITF4	18.6 	17.6 b
A,PC,T,Y18-24,ITF5	13.8 	8.7 bu
A,PC,T,Y18-24,ITF6	16.3 	14.0 b
A,PC,T,Y18-24,ITG	21.0 	19.5 b
A,PC,T,Y18-24,ITG1	20.9 	21.2 b
A,PC,T,Y18-24,ITG2	21.2 	13.2 b
A,PC,T,Y18-24,ITH	10.3 	9.6 b
A,PC,T,Y18-24,ITH1	13.8 	12.9 b
A,PC,T,Y18-24,ITH2	7.8 	8.8 bu
A,PC,T,Y18-24,ITH3	10.5 	9.3 b
A,PC,T,Y18-24,ITH4	10.3 	8.6 b
A,PC,T,Y18-24,ITH5	9.9 	9.9 b
A,PC,T,Y18-24,ITI	10.7 	9.8 b
A,PC,T,Y18-24,ITI1	10.9 	11.1 b
A,PC,T,Y18-24,ITI2	9.3 	12.0 b
A,PC,T,Y18-24,ITI3	10.1 	7.9 b
A,PC,T,Y18-24,ITI4	11.0 	9.2 b
A,PC,T,Y18-24,LT	5.4 	5.3 b
A,PC,T,Y18-24,LT0	5.4 	5.3 b
A,PC,T,Y18-24,LT01	3.9 u	: bu
A,PC,T,Y18-24,LT02	6.0 	6.8 b
A,PC,T,Y18-24,LU	7.3 	9.3 b
A,PC,T,Y18-24,LU0	7.3 	9.3 b
A,PC,T,Y18-24,LU00	7.3 	9.3 b
A,PC,T,Y18-24,LV	8.6 	7.3 b
A,PC,T,Y18-24,LV0	8.6 	7.3 b
A,PC,T,Y18-24,LV00	8.6 	7.3 b
A,PC,T,Y18-24,ME	5.4 	: 
A,PC,T,Y18-24,ME0	5.4 	: 
A,PC,T,Y18-24,ME00	5.4 	: 
A,PC,T,Y18-24,MK	8.5 	: 
A,PC,T,Y18-24,MK0	8.5 	: 
A,PC,T,Y18-24,MK00	8.5 	: 
A,PC,T,Y18-24,MT	14.0 b	10.9 b
A,PC,T,Y18-24,MT0	14.0 b	10.9 b
A,PC,T,Y18-24,MT00	14.0 b	10.9 b
A,PC,T,Y18-24,NL	7.1 	5.1 b
A,PC,T,Y18-24,NL1	6.1 	4.1 b
A,PC,T,Y18-24,NL11	3.8 	3.4 bu
A,PC,T,Y18-24,NL12	7.7 	5.2 b
A,PC,T,Y18-24,NL13	8.7 	3.7 bu
A,PC,T,Y18-24,NL2	8.1 	5.4 b
A,PC,T,Y18-24,NL21	7.7 	3.7 b
A,PC,T,Y18-24,NL22	8.3 	5.7 b
A,PC,T,Y18-24,NL23	8.3 	9.8 b
A,PC,T,Y18-24,NL3	6.4 	5.2 b
A,PC,T,Y18-24,NL31	5.0 	4.1 b
A,PC,T,Y18-24,NL32	6.2 	4.9 b
A,PC,T,Y18-24,NL33	6.6 	5.5 b
A,PC,T,Y18-24,NL34	11.2 	9.4 b
A,PC,T,Y18-24,NL4	7.9 	5.2 b
A,PC,T,Y18-24,NL41	7.9 	4.2 b
A,PC,T,Y18-24,NL42	7.9 	7.8 b
A,PC,T,Y18-24,NO	10.4 	12.3 b
A,PC,T,Y18-24,NO0	10.4 	12.3 b
A,PC,T,Y18-24,NO02	: u	: bu
A,PC,T,Y18-24,NO06	: u	12.0 bu
A,PC,T,Y18-24,NO07	11.6 u	13.6 bu
A,PC,T,Y18-24,NO08	10.3 	13.4 b
A,PC,T,Y18-24,NO09	10.9 u	10.5 bu
A,PC,T,Y18-24,NO0A	10.6 	11.3 b
A,PC,T,Y18-24,PL	5.0 	5.8 b
A,PC,T,Y18-24,PL2	3.9 	5.4 b
A,PC,T,Y18-24,PL21	3.3 u	: bu
