A,RT,TRA	1.8 d	2.7 
A,RT,TRA1	3.2 d	5.1 
A,RT,TRA2	0.4 	0.4 
A,RT,TRB	0.4 	0.4 
A,RT,TRB1	0.7 	0.6 
A,RT,TRB2	0.3 	0.2 
A,RT,TRC	0.2 	0.2 
A,RT,TRC1	0.4 	0.3 
A,RT,TRC2	0.2 	0.1 
A,RT,TRC3	0.2 	0.2 
A,RT,UK	1.0 d	: 
A,RT,UKC	1.1 d	: 
A,RT,UKD	0.9 d	: 
A,RT,UKE	1.0 d	: 
A,RT,UKF	1.0 d	: 
A,RT,UKG	0.9 d	: 
A,RT,UKH	0.6 d	: 
A,RT,UKI	1.1 d	: 
A,RT,UKJ	1.1 d	: 
A,RT,UKK	0.8 d	: 
A,RT,UKL	1.1 d	: 
A,RT,UKM	1.4 d	: 
A,RT,UKN	0.8 d	: 
A,RT,UKZ	: d	: 
