freq,nace_r2,unit,sex,geo\TIME_PERIOD	2017 	2021 
A,HTC,PC_EMP,T,ITC3	4.0 	3.1 b
A,HTC,PC_EMP,T,ITC4	4.7 	5.5 b
A,HTC,PC_EMP,T,ITF1	2.9 	3.0 b
A,HTC,PC_EMP,T,ITF2	1.6 u	2.0 bu
A,HTC,PC_EMP,T,ITF3	2.2 	2.8 b
A,HTC,PC_EMP,T,ITF4	1.4 	2.1 b
A,HTC,PC_EMP,T,ITF5	1.6 	2.1 b
A,HTC,PC_EMP,T,ITF6	1.1 	1.6 b
A,HTC,PC_EMP,T,ITG1	2.1 	2.2 b
A,HTC,PC_EMP,T,ITG2	2.0 	2.0 b
A,HTC,PC_EMP,T,ITH1	1.7 	1.7 b
A,HTC,PC_EMP,T,ITH2	3.2 	3.7 b
A,HTC,PC_EMP,T,ITH3	2.9 	3.1 b
A,HTC,PC_EMP,T,ITH4	3.0 	3.0 b
A,HTC,PC_EMP,T,ITH5	3.1 	3.5 b
A,HTC,PC_EMP,T,ITI1	3.2 	3.7 b
A,HTC,PC_EMP,T,ITI2	2.3 	3.0 b
A,HTC,PC_EMP,T,ITI3	2.4 	2.8 b
A,HTC,PC_EMP,T,ITI4	6.1 	8.2 b
A,HTC,PC_EMP,T,LT01	4.7 	8.4 b
A,HTC,PC_EMP,T,LT02	1.4 	2.3 b
A,HTC,PC_EMP,T,LU00	3.8 	5.0 b
A,HTC,PC_EMP,T,LV00	3.6 	4.5 b
A,HTC,PC_EMP,T,ME00	2.1 	: 
A,HTC,PC_EMP,T,MK00	2.2 	: 
A,HTC,PC_EMP,T,MT00	5.7 	5.6 b
A,HTC,PC_EMP,T,NL11	3.8 	4.2 b
A,HTC,PC_EMP,T,NL12	1.5 	2.5 b
A,HTC,PC_EMP,T,NL13	2.5 	3.1 b
A,HTC,PC_EMP,T,NL21	3.0 	4.2 b
A,HTC,PC_EMP,T,NL22	3.3 	4.5 b
A,HTC,PC_EMP,T,NL23	4.1 	8.2 b
A,HTC,PC_EMP,T,NL31	5.2 	6.8 b
A,HTC,PC_EMP,T,NL32	4.8 	7.2 b
A,HTC,PC_EMP,T,NL33	4.2 	5.5 b
A,HTC,PC_EMP,T,NL34	1.8 	2.6 b
A,HTC,PC_EMP,T,NL41	3.8 	5.7 b
A,HTC,PC_EMP,T,NL42	2.4 	3.7 b
A,HTC,PC_EMP,T,NO02	: u	3.0 bu
A,HTC,PC_EMP,T,NO06	3.8 u	5.3 b
A,HTC,PC_EMP,T,NO07	2.2 u	: bu
A,HTC,PC_EMP,T,NO08	6.2 	7.1 b
A,HTC,PC_EMP,T,NO09	3.0 	3.7 b
A,HTC,PC_EMP,T,NO0A	2.8 	3.2 b
A,HTC,PC_EMP,T,PL21	3.6 	5.3 b
A,HTC,PC_EMP,T,PL22	2.5 	3.6 b
A,HTC,PC_EMP,T,PL41	2.1 	2.3 b
A,HTC,PC_EMP,T,PL42	2.0 u	2.2 bu
A,HTC,PC_EMP,T,PL43	2.4 u	2.3 bu
A,HTC,PC_EMP,T,PL51	4.1 	5.3 b
A,HTC,PC_EMP,T,PL52	1.9 u	: bu
A,HTC,PC_EMP,T,PL61	2.7 	2.6 b
A,HTC,PC_EMP,T,PL62	1.5 u	: bu
A,HTC,PC_EMP,T,PL63	4.4 	4.0 b
A,HTC,PC_EMP,T,PL71	2.9 	4.0 b
A,HTC,PC_EMP,T,PL72	: u	: bu
A,HTC,PC_EMP,T,PL81	1.6 u	1.8 bu
A,HTC,PC_EMP,T,PL82	1.4 u	2.1 bu
A,HTC,PC_EMP,T,PL84	1.4 u	2.0 bu
A,HTC,PC_EMP,T,PL91	8.7 	8.8 b
A,HTC,PC_EMP,T,PL92	1.5 	2.1 b
A,HTC,PC_EMP,T,PT11	2.5 	3.3 b
A,HTC,PC_EMP,T,PT15	: u	: bu
A,HTC,PC_EMP,T,PT16	1.9 	3.1 b
A,HTC,PC_EMP,T,PT17	4.8 	7.1 b
A,HTC,PC_EMP,T,PT18	2.1 	2.1 bu
A,HTC,PC_EMP,T,PT20	: u	: bu
A,HTC,PC_EMP,T,PT30	: u	: bu
A,HTC,PC_EMP,T,RO11	2.5 	3.0 b
A,HTC,PC_EMP,T,RO12	2.8 	2.0 b
A,HTC,PC_EMP,T,RO21	1.0 	1.9 b
A,HTC,PC_EMP,T,RO22	1.1 u	0.8 bu
A,HTC,PC_EMP,T,RO31	1.2 	1.5 b
A,HTC,PC_EMP,T,RO32	9.6 	10.7 b
A,HTC,PC_EMP,T,RO41	0.8 u	1.0 bu
A,HTC,PC_EMP,T,RO42	5.9 	5.0 b
A,HTC,PC_EMP,T,RS11	6.5 	10.7 b
A,HTC,PC_EMP,T,RS12	2.8 	3.6 b
A,HTC,PC_EMP,T,RS21	1.1 	1.9 b
A,HTC,PC_EMP,T,RS22	1.1 	1.5 b
A,HTC,PC_EMP,T,SE11	8.4 	11.5 b
A,HTC,PC_EMP,T,SE12	4.2 	5.0 b
A,HTC,PC_EMP,T,SE21	2.0 	2.8 b
A,HTC,PC_EMP,T,SE22	5.2 	5.6 b
A,HTC,PC_EMP,T,SE23	4.4 	4.9 b
A,HTC,PC_EMP,T,SE31	2.8 	2.0 b
A,HTC,PC_EMP,T,SE32	3.9 	3.7 b
A,HTC,PC_EMP,T,SE33	2.6 	3.6 b
A,HTC,PC_EMP,T,SI03	4.3 	5.2 b
A,HTC,PC_EMP,T,SI04	7.3 	8.5 b
A,HTC,PC_EMP,T,SK01	10.6 	12.5 b
A,HTC,PC_EMP,T,SK02	4.1 	3.7 b
A,HTC,PC_EMP,T,SK03	3.2 	4.2 b
A,HTC,PC_EMP,T,SK04	3.0 	4.9 b
A,HTC,PC_EMP,T,TR10	2.4 	2.9 b
A,HTC,PC_EMP,T,TR21	0.7 	1.7 b
A,HTC,PC_EMP,T,TR22	0.3 u	0.3 bu
A,HTC,PC_EMP,T,TR31	1.2 	1.3 b
A,HTC,PC_EMP,T,TR32	0.5 	0.5 b
A,HTC,PC_EMP,T,TR33	0.4 	0.8 b
A,HTC,PC_EMP,T,TR41	0.7 	0.9 b
A,HTC,PC_EMP,T,TR42	1.6 	1.1 b
A,HTC,PC_EMP,T,TR51	3.1 	3.5 b
A,HTC,PC_EMP,T,TR52	0.5 	0.5 b
A,HTC,PC_EMP,T,TR61	0.8 	0.7 b
A,HTC,PC_EMP,T,TR62	0.6 	0.4 b
A,HTC,PC_EMP,T,TR63	0.2 u	0.2 bu
A,HTC,PC_EMP,T,TR71	0.3 u	0.2 bu
A,HTC,PC_EMP,T,TR72	0.4 	0.5 b
A,HTC,PC_EMP,T,TR81	0.3 u	0.5 bu
A,HTC,PC_EMP,T,TR82	0.6 u	0.3 bu
A,HTC,PC_EMP,T,TR83	0.3 	0.5 b
A,HTC,PC_EMP,T,TR90	0.3 	0.2 b
A,HTC,PC_EMP,T,TRA1	0.5 u	0.2 bu
A,HTC,PC_EMP,T,TRA2	0.2 u	: bu
A,HTC,PC_EMP,T,TRB1	0.2 u	0.4 b
A,HTC,PC_EMP,T,TRB2	0.2 u	0.1 bu
A,HTC,PC_EMP,T,TRC1	0.2 u	0.6 b
A,HTC,PC_EMP,T,TRC2	0.6 	0.4 b
A,HTC,PC_EMP,T,TRC3	1.0 	0.3 bu
A,HTC,PC_EMP,T,UKC1	3.1 	: 
A,HTC,PC_EMP,T,UKC2	3.6 	: 
