freq,sex,age,unit,geo\TIME_PERIOD	2017 	2021 
A,T,Y15-24,PC,NL12	7.3 	6.4 b
A,T,Y15-24,PC,NL13	6.6 	7.8 b
A,T,Y15-24,PC,NL21	6.5 	6.1 b
A,T,Y15-24,PC,NL22	5.9 	7.6 b
A,T,Y15-24,PC,NL23	7.9 	7.9 b
A,T,Y15-24,PC,NL31	5.2 	7.5 b
A,T,Y15-24,PC,NL32	5.2 	8.1 b
A,T,Y15-24,PC,NL33	6.8 	8.9 b
A,T,Y15-24,PC,NL34	3.7 u	4.9 bu
A,T,Y15-24,PC,NL41	5.3 	5.6 b
A,T,Y15-24,PC,NL42	5.9 	5.9 b
A,T,Y15-24,PC,NO02	: u	: bu
A,T,Y15-24,PC,NO06	: u	: bu
A,T,Y15-24,PC,NO07	: u	: bu
A,T,Y15-24,PC,NO08	6.2 	8.7 b
A,T,Y15-24,PC,NO09	6.1 u	6.8 bu
A,T,Y15-24,PC,NO0A	5.3 u	7.6 b
A,T,Y15-24,PC,PL21	4.9 	3.8 bu
A,T,Y15-24,PC,PL22	4.1 	4.6 bu
A,T,Y15-24,PC,PL41	2.7 u	3.0 bu
A,T,Y15-24,PC,PL42	4.5 u	: bu
A,T,Y15-24,PC,PL43	: u	: bu
A,T,Y15-24,PC,PL51	5.0 u	4.2 bu
A,T,Y15-24,PC,PL52	: u	: bu
A,T,Y15-24,PC,PL61	5.8 u	: bu
A,T,Y15-24,PC,PL62	7.5 u	: bu
A,T,Y15-24,PC,PL63	5.0 u	: bu
A,T,Y15-24,PC,PL71	4.1 u	4.9 bu
A,T,Y15-24,PC,PL72	6.3 u	: bu
A,T,Y15-24,PC,PL81	7.8 	5.4 bu
A,T,Y15-24,PC,PL82	8.9 	4.9 bu
A,T,Y15-24,PC,PL84	4.6 u	: bu
A,T,Y15-24,PC,PL91	3.1 u	: bu
A,T,Y15-24,PC,PL92	6.4 	: bu
A,T,Y15-24,PC,PT11	9.1 	7.2 b
A,T,Y15-24,PC,PT15	: u	: bu
A,T,Y15-24,PC,PT16	6.9 	5.5 b
A,T,Y15-24,PC,PT17	7.8 	8.2 b
A,T,Y15-24,PC,PT18	8.0 	6.1 bu
A,T,Y15-24,PC,PT20	: u	: bu
A,T,Y15-24,PC,PT30	: u	: bu
A,T,Y15-24,PC,RO11	3.9 u	3.1 bu
A,T,Y15-24,PC,RO12	5.4 	4.9 b
A,T,Y15-24,PC,RO21	3.7 	6.4 b
A,T,Y15-24,PC,RO22	6.3 	5.7 b
A,T,Y15-24,PC,RO31	8.6 	7.8 b
A,T,Y15-24,PC,RO32	6.5 u	3.9 bu
A,T,Y15-24,PC,RO41	6.7 	7.2 b
A,T,Y15-24,PC,RO42	: u	4.9 bu
A,T,Y15-24,PC,RS11	9.2 	6.8 b
A,T,Y15-24,PC,RS12	10.1 	8.6 b
A,T,Y15-24,PC,RS21	9.6 	10.0 b
A,T,Y15-24,PC,RS22	10.2 	8.7 b
A,T,Y15-24,PC,SE11	9.5 	14.1 b
