freq,age,unit,sex,geo\TIME_PERIOD	2017 	2021 
A,Y15-24,PC,T,IE05	14.2 b	14.9 b
A,Y15-24,PC,T,IE06	15.1 b	14.9 b
A,Y15-24,PC,T,IS00	7.9 	12.1 b
A,Y15-24,PC,T,ITC1	32.9 	23.4 b
A,Y15-24,PC,T,ITC2	: u	: bu
A,Y15-24,PC,T,ITC3	34.3 	31.3 b
A,Y15-24,PC,T,ITC4	22.9 	21.2 b
A,Y15-24,PC,T,ITF1	31.3 	29.6 b
A,Y15-24,PC,T,ITF2	47.3 	28.5 bu
A,Y15-24,PC,T,ITF3	54.7 	44.8 b
A,Y15-24,PC,T,ITF4	51.4 	39.5 b
A,Y15-24,PC,T,ITF5	38.1 	32.8 bu
A,Y15-24,PC,T,ITF6	55.6 	47.0 b
A,Y15-24,PC,T,ITG1	52.9 	48.8 b
A,Y15-24,PC,T,ITG2	46.8 	38.7 b
A,Y15-24,PC,T,ITH1	10.2 u	9.1 bu
A,Y15-24,PC,T,ITH2	20.1 	15.9 bu
A,Y15-24,PC,T,ITH3	20.9 	18.2 b
A,Y15-24,PC,T,ITH4	25.4 	18.1 b
A,Y15-24,PC,T,ITH5	21.3 	23.2 b
A,Y15-24,PC,T,ITI1	24.5 	26.2 b
A,Y15-24,PC,T,ITI2	30.8 	27.3 b
A,Y15-24,PC,T,ITI3	24.2 	20.5 b
A,Y15-24,PC,T,ITI4	37.5 	34.4 b
A,Y15-24,PC,T,LT01	7.1 u	11.3 bu
A,Y15-24,PC,T,LT02	15.8 	15.5 b
A,Y15-24,PC,T,LU00	15.4 	16.9 b
A,Y15-24,PC,T,LV00	17.0 	14.8 b
A,Y15-24,PC,T,ME00	31.7 	: 
A,Y15-24,PC,T,MK00	46.7 	: 
A,Y15-24,PC,T,MT00	10.6 	9.9 b
A,Y15-24,PC,T,NL11	12.5 	9.7 b
A,Y15-24,PC,T,NL12	10.7 	8.0 b
A,Y15-24,PC,T,NL13	9.9 	9.4 b
A,Y15-24,PC,T,NL21	9.4 	7.6 b
A,Y15-24,PC,T,NL22	8.4 	9.3 b
A,Y15-24,PC,T,NL23	11.7 	10.3 b
A,Y15-24,PC,T,NL31	8.0 	9.7 b
A,Y15-24,PC,T,NL32	7.4 	10.1 b
A,Y15-24,PC,T,NL33	10.4 	11.6 b
A,Y15-24,PC,T,NL34	5.0 u	5.9 bu
A,Y15-24,PC,T,NL41	7.3 	6.9 b
A,Y15-24,PC,T,NL42	8.8 	7.8 b
A,Y15-24,PC,T,NO02	: u	: bu
A,Y15-24,PC,T,NO06	: u	: bu
A,Y15-24,PC,T,NO07	: u	: bu
A,Y15-24,PC,T,NO08	11.6 	14.5 b
A,Y15-24,PC,T,NO09	12.0 u	11.3 bu
A,Y15-24,PC,T,NO0A	9.9 u	12.2 b
A,Y15-24,PC,T,PL21	16.3 	13.7 bu
A,Y15-24,PC,T,PL22	12.1 	13.9 bu
A,Y15-24,PC,T,PL41	7.0 u	7.2 bu
A,Y15-24,PC,T,PL42	14.9 u	: bu
A,Y15-24,PC,T,PL43	: u	: bu
A,Y15-24,PC,T,PL51	14.9 u	13.3 bu
A,Y15-24,PC,T,PL52	: u	: bu
A,Y15-24,PC,T,PL61	15.8 u	: bu
A,Y15-24,PC,T,PL62	20.4 u	: bu
A,Y15-24,PC,T,PL63	13.2 u	: bu
A,Y15-24,PC,T,PL71	11.0 u	14.8 bu
A,Y15-24,PC,T,PL72	17.4 u	: bu
A,Y15-24,PC,T,PL81	23.8 	18.3 bu
A,Y15-24,PC,T,PL82	26.1 	21.0 bu
A,Y15-24,PC,T,PL84	14.5 u	: bu
A,Y15-24,PC,T,PL91	9.5 u	: bu
A,Y15-24,PC,T,PL92	17.7 	: bu
A,Y15-24,PC,T,PT11	25.9 	22.7 b
A,Y15-24,PC,T,PT15	: u	: bu
A,Y15-24,PC,T,PT16	21.3 	20.1 b
A,Y15-24,PC,T,PT17	22.5 	26.8 b
A,Y15-24,PC,T,PT18	24.6 	21.2 bu
A,Y15-24,PC,T,PT20	: u	: bu
A,Y15-24,PC,T,PT30	: u	: bu
A,Y15-24,PC,T,RO11	14.6 u	13.3 bu
A,Y15-24,PC,T,RO12	23.9 	21.6 b
A,Y15-24,PC,T,RO21	9.8 	19.8 b
A,Y15-24,PC,T,RO22	21.6 	18.3 b
A,Y15-24,PC,T,RO31	23.7 	25.3 b
A,Y15-24,PC,T,RO32	22.7 u	15.7 bu
