freq,na_item,unit,geo\TIME_PERIOD	2021 
A,RLPR_HW,I15,PL22	121.9 e
A,RLPR_HW,I15,PL41	116.2 e
A,RLPR_HW,I15,PL42	115.2 e
A,RLPR_HW,I15,PL43	114.5 e
A,RLPR_HW,I15,PL51	120.4 e
A,RLPR_HW,I15,PL52	113.6 e
A,RLPR_HW,I15,PL61	121.4 e
A,RLPR_HW,I15,PL62	112.5 e
A,RLPR_HW,I15,PL63	120.9 e
A,RLPR_HW,I15,PL71	120.2 e
A,RLPR_HW,I15,PL72	113.7 e
A,RLPR_HW,I15,PL81	118.1 e
A,RLPR_HW,I15,PL82	113.3 e
A,RLPR_HW,I15,PL84	121.5 e
A,RLPR_HW,I15,PL91	119.6 e
A,RLPR_HW,I15,PL92	126.9 e
A,RLPR_HW,I15,PT11	110.9 
A,RLPR_HW,I15,PT15	98.4 
A,RLPR_HW,I15,PT16	110.6 
A,RLPR_HW,I15,PT17	100 
A,RLPR_HW,I15,PT18	101.2 
A,RLPR_HW,I15,PT20	106.4 
A,RLPR_HW,I15,PT30	105 
A,RLPR_HW,I15,PTZZ	99.8 
A,RLPR_HW,I15,RO11	131.5 e
A,RLPR_HW,I15,RO12	111.9 e
A,RLPR_HW,I15,RO21	98.2 e
A,RLPR_HW,I15,RO22	109.1 e
A,RLPR_HW,I15,RO31	94.2 e
A,RLPR_HW,I15,RO32	152.5 e
A,RLPR_HW,I15,RO41	99.1 e
A,RLPR_HW,I15,RO42	135.4 e
A,RLPR_HW,I15,RS11	96 e
A,RLPR_HW,I15,RS12	108.5 e
A,RLPR_HW,I15,RS21	104.2 e
A,RLPR_HW,I15,RS22	135.7 e
A,RLPR_HW,I15,RSZZ	72.9 e
A,RLPR_HW,I15,SE11	109.5 e
A,RLPR_HW,I15,SE12	105.9 e
A,RLPR_HW,I15,SE21	110.5 e
A,RLPR_HW,I15,SE22	109.4 e
A,RLPR_HW,I15,SE23	105.5 e
A,RLPR_HW,I15,SE31	104.3 e
A,RLPR_HW,I15,SE32	107.1 e
A,RLPR_HW,I15,SE33	112.9 e
A,RLPR_HW,I15,SEZZ	92.1 e
A,RLPR_HW,I15,SI03	115.6 e
A,RLPR_HW,I15,SI04	114.5 e
A,RLPR_HW,I15,SK01	116 e
A,RLPR_HW,I15,SK02	121.7 e
A,RLPR_HW,I15,SK03	120.2 e
A,RLPR_HW,I15,SK04	119.1 e
